Comparison,Stage 1 Model,Stage 2 Model,level_2,Stage 1 Time (s),S1 Accuracy,S1 Precision,S1 Recall,S1 F1 Score,S1 Confusion Matrix,Stage 2 Time (s),S2 Accuracy,S2 Precision,S2 Recall,S2 F1 Score,S2 Confusion Matrix,Combined Accuracy,Combined Precision,Combined Recall,Combined F1 Score,Combined Confusion Matrix,Test Dataset,level_1,S1 Train Time (s),S1 Test Time (s),S2 Train Time (s),S2 Test Time (s),Feature Count,Features
Classification Results,Logistic Regression,Decision Tree (Gini),other,71.24898,0.9478,0.9277,0.9478,0.9354,[[6077071 71234] [ 264701 28625]],1.78103,0.9985,0.9988,0.9985,0.9986,[[98862 146] [ 0 851]],0.9478,0.9301,0.9478,0.9353,[[6077071 71089 145] [ 235608 27773 1] [ 29093 0 851]],,,,,,,,
Classification Results,Logistic Regression,Gradient Boosting,self,140.34818,0.951,0.9315,0.951,0.9376,[[6096087 52218] [ 263492 29834]],123.04724,0.9964,0.9974,0.9964,0.9967,[[81047 299] [ 0 706]],0.951,0.9329,0.951,0.9375,[[6096087 51920 298] [ 234254 29127 1] [ 29238 0 706]],,,,,,,,
Classification Results,Logistic Regression,Gradient Boosting,other,71.24898,0.9478,0.9277,0.9478,0.9354,[[6077071 71234] [ 264701 28625]],70.08526,0.9983,0.9983,0.9983,0.9983,[[98897 111] [ 62 789]],0.9478,0.9301,0.9478,0.9353,[[6077071 71203 31] [ 235608 27694 80] [ 29093 62 789]],,,,,,,,
Classification Results,Logistic Regression,KNN (k=5),self,140.34818,0.951,0.9315,0.951,0.9376,[[6096087 52218] [ 263492 29834]],4.28252,0.9532,0.9927,0.9532,0.9698,[[77508 3838] [ 0 706]],0.951,0.931,0.951,0.9375,[[6096087 48383 3835] [ 234254 29125 3] [ 29238 0 706]],,,,,,,,
Classification Results,Logistic Regression,KNN (k=5),other,71.24898,0.9478,0.9277,0.9478,0.9354,[[6077071 71234] [ 264701 28625]],1.96004,0.956,0.9928,0.956,0.9714,[[94617 4391] [ 1 850]],0.9478,0.9274,0.9478,0.9354,[[6077071 66853 4381] [ 235608 27764 10] [ 29093 1 850]],,,,,,,,
Classification Results,Logistic Regression,Logistic Regression,self,140.34818,0.951,0.9315,0.951,0.9376,[[6096087 52218] [ 263492 29834]],5.64898,0.8963,0.9838,0.8963,0.9374,[[73413 7933] [ 574 132]],0.9509,0.931,0.9509,0.9374,[[6096087 44479 7739] [ 234254 28934 194] [ 29238 574 132]],,,,,,,,
Classification Results,Logistic Regression,Logistic Regression,other,71.24898,0.9478,0.9277,0.9478,0.9354,[[6077071 71234] [ 264701 28625]],3.13499,0.966,0.9835,0.966,0.9746,[[96412 2596] [ 801 50]],0.9477,0.9263,0.9477,0.9351,[[6077071 68777 2457] [ 235608 27635 139] [ 29093 801 50]],,,,,,,,
Classification Results,Logistic Regression,Naive Bayes,self,140.34818,0.951,0.9315,0.951,0.9376,[[6096087 52218] [ 263492 29834]],0.27737,0.1933,0.9904,0.1933,0.3117,[[15168 66178] [ 17 689]],0.9477,0.9364,0.9477,0.9328,[[6096087 7214 45004] [ 234254 7954 21174] [ 29238 17 689]],,,,,,,,
Classification Results,Logistic Regression,Naive Bayes,other,71.24898,0.9478,0.9277,0.9478,0.9354,[[6077071 71234] [ 264701 28625]],0.14396,0.2086,0.9913,0.2086,0.3332,[[19987 79021] [ 5 846]],0.9452,0.9365,0.9452,0.9319,[[6077071 9302 61932] [ 235608 10685 17089] [ 29093 5 846]],,,,,,,,
Classification Results,Logistic Regression,Random Forest (Gini),self,140.34818,0.951,0.9315,0.951,0.9376,[[6096087 52218] [ 263492 29834]],51.40744,0.9971,0.9978,0.9971,0.9973,[[81109 237] [ 0 706]],0.951,0.9331,0.951,0.9375,[[6096087 51982 236] [ 234254 29127 1] [ 29238 0 706]],,,,,,,,
